strategy,avg_return,type
SMA_5_10,22.930751674634138,SMA
EMA_5_13,21.26165091190309,EMA
MACD_5_15_5,20.586707396329267,MACD
MACD_12_15_9,20.586704263382952,MACD
MACD_12_15_7,20.586704263382952,MACD
SMA_10_15,20.586704263382952,SMA
MACD_8_15_5,20.586704263382952,MACD
MACD_5_15_9,20.586704263382952,MACD
MACD_12_15_5,20.586701997951515,MACD
MACD_5_15_7,20.5866988650052,MACD
MACD_8_15_7,20.5866988650052,MACD
MACD_8_15_9,20.586695732058878,MACD
EMA_8_13,18.60500710089589,EMA
EMA_12_13,18.60500481168984,EMA
EMA_9_13,18.60500164208247,EMA
EMA_13_21,18.506333240115772,EMA
EMA_9_21,18.506333240115772,EMA
EMA_12_21,18.506324659282825,EMA
EMA_8_21,18.506324659282825,EMA
EMA_5_21,18.506324659282825,EMA
MACD_5_20_5,18.068997487683838,MACD
MACD_5_20_7,18.068997487683838,MACD
MACD_12_20_5,18.068997487683838,MACD
MACD_12_20_9,18.068997487683838,MACD
SMA_5_20,18.068997487683838,SMA
MACD_8_20_5,18.068994316288016,MACD
MACD_8_20_9,18.068994316288016,MACD
MACD_12_20_7,18.068994316288016,MACD
MACD_5_20_9,18.068988871296405,MACD
MACD_8_20_7,18.068988871296405,MACD
SMA_15_20,17.366244406880824,SMA
SMA_10_25,15.859149557022285,SMA
EMA_13_26,15.410380282040752,EMA
MACD_12_26_9,15.410380282040752,MACD
EMA_8_26,15.410377840280706,EMA
MACD_12_26_7,15.410377840280706,MACD
SMA_20_25,15.410377840280706,SMA
MACD_8_26_5,15.410377840280706,MACD
EMA_12_26,15.410377840280706,EMA
MACD_8_26_9,15.410377840280706,MACD
MACD_5_26_9,15.410374793182438,MACD
MACD_12_26_5,15.410374793182438,MACD
EMA_5_26,15.410374793182438,EMA
MACD_5_26_7,15.410374793182438,MACD
MACD_5_26_5,15.410374793182438,MACD
MACD_8_26_7,15.410374793182438,MACD
EMA_21_26,15.410374793182438,EMA
EMA_9_26,15.410369304324123,EMA
SMA_15_30,10.080580799773324,SMA
SMA_5_30,10.08058023084206,SMA
SMA_25_30,9.710451552954527,SMA
EMA_8_34,9.205299655918015,EMA
EMA_13_34,9.205299655918015,EMA
EMA_12_34,9.205299655918015,EMA
EMA_21_34,9.205299655918015,EMA
EMA_5_34,9.205293938173327,EMA
EMA_9_34,9.205293938173327,EMA
SMA_10_35,8.290582025133691,SMA
SMA_30_35,8.290576829854636,SMA
SMA_20_35,8.290576829854636,SMA
SMA_35_40,8.162827424488214,SMA
SMA_15_40,8.16282158377404,SMA
SMA_25_40,8.16282158377404,SMA
SMA_5_40,8.162816356755776,SMA
SMA_10_45,6.940306716388568,SMA
SMA_40_45,6.940306716388568,SMA
SMA_30_45,6.9403058167361715,SMA
SMA_20_45,6.9403009205927715,SMA
EMA_8_55,6.452821276251771,EMA
EMA_9_55,6.452821276251771,EMA
SMA_10_55,6.452821276251771,SMA
SMA_50_55,6.452821276251771,SMA
EMA_5_55,6.452815766056656,EMA
SMA_30_55,6.452815766056656,SMA
EMA_21_55,6.452815766056656,EMA
SMA_20_55,6.452815766056656,SMA
SMA_40_55,6.452815766056656,SMA
EMA_12_55,6.452810870180274,EMA
EMA_13_55,6.452810870180274,EMA
SMA_15_50,5.502672378368571,SMA
SMA_25_50,5.5026674676716265,SMA
SMA_5_50,5.5026674676716265,SMA
SMA_35_50,5.5026674676716265,SMA
SMA_45_50,5.502666846558677,SMA
SMA_45_60,4.232359857890187,SMA
SMA_55_60,4.232359857890187,SMA
SMA_25_60,4.2323543881244765,SMA
SMA_5_60,4.2323543881244765,SMA
SMA_15_60,4.232349523435014,SMA
SMA_35_60,4.232349523435014,SMA
SMA_20_65,2.2812354207880707,SMA
SMA_10_65,2.28122995218333,SMA
SMA_50_65,2.28122995218333,SMA
SMA_60_65,2.2812250870765456,SMA
SMA_30_65,2.2812250870765456,SMA
SMA_40_65,2.2812250870765456,SMA
SMA_5_70,2.2474359527915837,SMA
SMA_35_70,2.2474359527915837,SMA
SMA_45_70,2.2474359527915837,SMA
SMA_15_70,2.2474359527915837,SMA
SMA_25_70,2.2474359527915837,SMA
SMA_65_70,2.2474359527915837,SMA
SMA_55_70,2.2474304630642106,SMA
SMA_30_85,1.4420901289032735,SMA
SMA_60_85,1.4420901289032735,SMA
SMA_50_85,1.4420901289032735,SMA
SMA_80_85,1.4420901289032735,SMA
SMA_40_85,1.4420898130171462,SMA
SMA_10_85,1.4420898130171462,SMA
SMA_70_85,1.4420898130171462,SMA
SMA_20_85,1.4420848893157108,SMA
SMA_50_75,0.8402089504658943,SMA
SMA_30_75,0.8402089504658943,SMA
SMA_70_75,0.8402089504658943,SMA
SMA_10_75,0.8402089504658943,SMA
SMA_40_75,0.8402089504658943,SMA
SMA_60_75,0.8402089504658943,SMA
SMA_20_75,0.8402089504658943,SMA
SMA_5_80,0.20844570296611892,SMA
SMA_75_80,0.20844570296611892,SMA
SMA_65_80,0.20844570296611892,SMA
SMA_25_80,0.20844570296611892,SMA
SMA_15_80,0.20844570296611892,SMA
SMA_45_80,0.20844113520791324,SMA
SMA_55_80,0.20844113520791324,SMA
SMA_35_80,0.20844113520791324,SMA
SMA_5_100,0.03172959814366549,SMA
SMA_15_100,0.03172959814366549,SMA
SMA_35_100,0.03172959814366549,SMA
SMA_25_100,0.031725069540225366,SMA
SMA_65_100,0.031725069540225366,SMA
SMA_55_100,0.031725069540225366,SMA
SMA_45_100,0.031725069540225366,SMA
SMA_75_100,0.03172054093679435,SMA
SMA_85_100,0.03172054093679435,SMA
SMA_95_100,0.03172054093679435,SMA
SMA_15_90,-0.18280253369905047,SMA
SMA_5_90,-0.1828070934762855,SMA
SMA_45_90,-0.1828070934762855,SMA
SMA_25_90,-0.18280768981692747,SMA
SMA_85_90,-0.18280768981692747,SMA
SMA_35_90,-0.18281224959416248,SMA
SMA_65_90,-0.18281224959416248,SMA
SMA_55_90,-0.18281224959416248,SMA
SMA_75_90,-0.18281224959416248,SMA
EMA_9_89,-0.44850517269925144,EMA
EMA_13_89,-0.44850517269925144,EMA
EMA_21_89,-0.44850517269925144,EMA
EMA_12_89,-0.4485097838309411,EMA
EMA_5_89,-0.4485097838309411,EMA
EMA_8_89,-0.44851499917603177,EMA
SMA_90_105,-1.5379727018899665,SMA
SMA_10_105,-1.5379727018899665,SMA
SMA_20_105,-1.5379727018899665,SMA
SMA_30_105,-1.5379727018899665,SMA
SMA_80_105,-1.5379727018899665,SMA
SMA_40_105,-1.5379727018899665,SMA
SMA_100_105,-1.537977933850716,SMA
SMA_60_105,-1.537977933850716,SMA
SMA_70_105,-1.537977933850716,SMA
SMA_50_105,-1.537977933850716,SMA
SMA_80_95,-1.8635167213956723,SMA
SMA_10_95,-1.8635167213956723,SMA
SMA_30_95,-1.8635167213956723,SMA
SMA_50_95,-1.8635167213956723,SMA
SMA_70_95,-1.8635173363253852,SMA
SMA_20_95,-1.8635219366992986,SMA
SMA_60_95,-1.8635219366992986,SMA
SMA_90_95,-1.8635219366992986,SMA
SMA_40_95,-1.8635219366992986,SMA
SMA_65_110,-1.9380757810119942,SMA
SMA_25_110,-1.9380757810119942,SMA
SMA_35_110,-1.938080361743114,SMA
SMA_55_110,-1.9380809697026509,SMA
SMA_5_110,-1.9380809697026509,SMA
SMA_45_110,-1.9380809697026509,SMA
SMA_95_110,-1.9380855504337706,SMA
SMA_85_110,-1.9380855504337706,SMA
SMA_75_110,-1.9380855504337706,SMA
SMA_15_110,-1.9380855504337706,SMA
SMA_20_115,-3.612087367672857,SMA
SMA_70_115,-3.612087367672857,SMA
SMA_10_115,-3.612087367672857,SMA
SMA_60_115,-3.612087367672857,SMA
SMA_100_115,-3.612087367672857,SMA
SMA_90_115,-3.612087367672857,SMA
SMA_40_115,-3.612087367672857,SMA
SMA_50_115,-3.612087367672857,SMA
SMA_80_115,-3.612087367672857,SMA
SMA_30_115,-3.612091941082344,SMA
SMA_60_165,-4.4553484810733615,SMA
SMA_70_165,-4.4553484810733615,SMA
SMA_90_165,-4.4553484810733615,SMA
SMA_80_165,-4.4553484810733615,SMA
SMA_20_165,-4.4553484810733615,SMA
SMA_50_165,-4.4553484810733615,SMA
SMA_40_165,-4.4553484810733615,SMA
SMA_30_165,-4.4553484810733615,SMA
SMA_10_165,-4.4553484810733615,SMA
SMA_100_165,-4.4553484810733615,SMA
SMA_85_120,-4.615259812269196,SMA
SMA_95_120,-4.615259812269196,SMA
SMA_35_120,-4.615259812269196,SMA
SMA_25_120,-4.615259812269196,SMA
SMA_75_120,-4.615259812269196,SMA
SMA_55_120,-4.615264362599528,SMA
SMA_45_120,-4.615264362599528,SMA
SMA_15_120,-4.615264362599528,SMA
SMA_65_120,-4.615264362599528,SMA
SMA_5_120,-4.615264362599528,SMA
SMA_70_135,-4.65451606372998,SMA
SMA_100_135,-4.65451606372998,SMA
SMA_80_135,-4.65451606372998,SMA
SMA_90_135,-4.65451606372998,SMA
SMA_60_135,-4.65451606372998,SMA
SMA_30_135,-4.65451606372998,SMA
SMA_20_135,-4.65451606372998,SMA
SMA_10_135,-4.65451606372998,SMA
SMA_40_135,-4.65451606372998,SMA
SMA_50_135,-4.65451606372998,SMA
SMA_10_125,-4.8859373635123395,SMA
SMA_50_125,-4.8859373635123395,SMA
SMA_70_125,-4.8859373635123395,SMA
SMA_20_125,-4.8859373635123395,SMA
SMA_90_125,-4.8859373635123395,SMA
SMA_80_125,-4.8859373635123395,SMA
SMA_100_125,-4.8859373635123395,SMA
SMA_40_125,-4.8859373635123395,SMA
SMA_30_125,-4.8859373635123395,SMA
SMA_60_125,-4.8859373635123395,SMA
SMA_95_140,-5.748305956228341,SMA
SMA_5_140,-5.748305956228341,SMA
SMA_75_140,-5.748305956228341,SMA
SMA_25_140,-5.748310808757223,SMA
SMA_65_140,-5.748310808757223,SMA
SMA_35_140,-5.748310808757223,SMA
SMA_15_140,-5.748310808757223,SMA
SMA_45_140,-5.748310808757223,SMA
SMA_55_140,-5.748310808757223,SMA
SMA_85_140,-5.748310808757223,SMA
SMA_45_160,-5.858881145150935,SMA
SMA_95_160,-5.858881145150935,SMA
SMA_55_160,-5.858881145150935,SMA
SMA_85_160,-5.858881145150935,SMA
SMA_15_160,-5.858881145150935,SMA
SMA_35_160,-5.858881145150935,SMA
SMA_75_160,-5.858881145150935,SMA
SMA_25_160,-5.858881145150935,SMA
SMA_5_160,-5.858881145150935,SMA
SMA_65_160,-5.858881145150935,SMA
SMA_55_130,-6.0019617820212625,SMA
SMA_45_130,-6.0019617820212625,SMA
SMA_75_130,-6.0019617820212625,SMA
SMA_65_130,-6.0019617820212625,SMA
SMA_25_130,-6.0019617820212625,SMA
SMA_35_130,-6.0019617820212625,SMA
SMA_15_130,-6.0019617820212625,SMA
SMA_5_130,-6.0019617820212625,SMA
SMA_95_130,-6.0019617820212625,SMA
SMA_85_130,-6.0019617820212625,SMA
SMA_45_180,-6.517001753007971,SMA
SMA_15_180,-6.517001753007971,SMA
SMA_35_180,-6.517001753007971,SMA
SMA_5_180,-6.517001753007971,SMA
SMA_25_180,-6.517001753007971,SMA
SMA_65_180,-6.517001753007971,SMA
SMA_95_180,-6.517001753007971,SMA
SMA_75_180,-6.517001753007971,SMA
SMA_85_180,-6.517001753007971,SMA
SMA_55_180,-6.517001753007971,SMA
SMA_10_155,-7.229831435786126,SMA
SMA_70_155,-7.229831435786126,SMA
SMA_50_155,-7.229831435786126,SMA
SMA_90_155,-7.229831435786126,SMA
SMA_100_155,-7.229831435786126,SMA
SMA_30_155,-7.229831435786126,SMA
SMA_60_155,-7.22983568616014,SMA
SMA_20_155,-7.22983568616014,SMA
SMA_40_155,-7.22983568616014,SMA
SMA_80_155,-7.22983568616014,SMA
SMA_55_170,-7.599033463576907,SMA
SMA_45_170,-7.599033463576907,SMA
SMA_35_170,-7.599038331312986,SMA
SMA_15_170,-7.599038331312986,SMA
SMA_65_170,-7.599038331312986,SMA
SMA_85_170,-7.599038331312986,SMA
SMA_95_170,-7.599038331312986,SMA
SMA_75_170,-7.599038331312986,SMA
SMA_5_170,-7.599038331312986,SMA
SMA_25_170,-7.599038331312986,SMA
SMA_20_185,-7.842162357551032,SMA
SMA_90_185,-7.842162357551032,SMA
SMA_40_185,-7.842162357551032,SMA
SMA_60_185,-7.842162357551032,SMA
SMA_30_185,-7.842162357551032,SMA
SMA_100_185,-7.842162357551032,SMA
SMA_50_185,-7.842162357551032,SMA
SMA_80_185,-7.842162357551032,SMA
SMA_10_185,-7.842162357551032,SMA
SMA_70_185,-7.842162357551032,SMA
SMA_40_175,-7.96829089529061,SMA
SMA_90_175,-7.96829089529061,SMA
SMA_20_175,-7.96829089529061,SMA
SMA_50_175,-7.96829517271305,SMA
SMA_100_175,-7.96829517271305,SMA
SMA_30_175,-7.968295767033933,SMA
SMA_80_175,-7.968295767033933,SMA
SMA_70_175,-7.968295767033933,SMA
SMA_60_175,-7.968295767033933,SMA
SMA_10_175,-7.968300044456374,SMA
SMA_10_145,-8.059647139418958,SMA
SMA_30_145,-8.059647139418958,SMA
SMA_60_145,-8.059647139418958,SMA
SMA_80_145,-8.059647139418958,SMA
SMA_70_145,-8.059647139418958,SMA
SMA_50_145,-8.059647139418958,SMA
SMA_40_145,-8.059647139418958,SMA
SMA_20_145,-8.059647139418958,SMA
SMA_100_145,-8.059647139418958,SMA
SMA_90_145,-8.059647139418958,SMA
SMA_15_190,-8.183148564123549,SMA
SMA_85_190,-8.183148564123549,SMA
SMA_45_190,-8.183148564123549,SMA
SMA_25_190,-8.183148564123549,SMA
SMA_55_190,-8.183148564123549,SMA
SMA_75_190,-8.183148564123549,SMA
SMA_65_190,-8.183148564123549,SMA
SMA_95_190,-8.183148564123549,SMA
SMA_35_190,-8.183148564123549,SMA
SMA_5_190,-8.183148564123549,SMA
SMA_5_200,-8.461505254815574,SMA
SMA_60_195,-8.570874110989571,SMA
SMA_70_195,-8.570874110989571,SMA
SMA_10_195,-8.570874110989571,SMA
SMA_20_195,-8.570874110989571,SMA
SMA_100_195,-8.570874110989571,SMA
SMA_90_195,-8.570874110989571,SMA
SMA_50_195,-8.570874110989571,SMA
SMA_30_195,-8.570874110989571,SMA
SMA_80_195,-8.570874110989571,SMA
SMA_40_195,-8.570874110989571,SMA
SMA_85_150,-8.752632034207146,SMA
SMA_95_150,-8.752632034207146,SMA
SMA_45_150,-8.752632034207146,SMA
SMA_55_150,-8.752632034207146,SMA
SMA_25_150,-8.752632034207146,SMA
SMA_15_150,-8.752632034207146,SMA
SMA_35_150,-8.752632034207146,SMA
SMA_5_150,-8.752632034207146,SMA
SMA_75_150,-8.752632034207146,SMA
SMA_65_150,-8.752632034207146,SMA
SMA_65_200,-8.938916537164197,SMA
SMA_85_200,-8.938916537164197,SMA
SMA_15_200,-8.938916537164197,SMA
SMA_55_200,-8.938916537164197,SMA
SMA_25_200,-8.938916537164197,SMA
SMA_35_200,-8.938916537164197,SMA
SMA_95_200,-8.938916537164197,SMA
SMA_45_200,-8.938916537164197,SMA
SMA_75_200,-8.938916537164197,SMA
