strategy,avg_return,total_trades
SMA_5_20,41.329796518478474,0
EMA_5_10,41.31382619959688,0
SMA_5_10,40.91521564252943,0
EMA_9_17,40.38502018464599,7
EMA_5_20,39.920318823553565,0
EMA_8_21,39.54773668592197,0
SMA_9_21,38.205353793899135,0
SMA_10_20,37.61417236545909,0
DeathCross,33.17789847471928,0
EMA_12_26,27.415812470896885,7
EMA_21_55,18.7991428017983,0
SMA_20_50,16.23546611781398,7
SMA_10_50,16.235464686354284,7
EMA_25_50,16.235456503599302,7
SMA_50_200,11.41312046572162,0
GoldenCross,11.41311738089045,0
SMA_100_200,11.208276257901074,0
EMA_13_34,10.731442752789265,15
SMA_50_100,-1.4403351904936368,12
SMA_20_100,-3.5947834885021925,12
