strategy,type,ticker,entry_date,exit_date,exit_year,shares,entry_price,exit_price,invested,return_pct,pl_dollars
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-12,2022,30.9219,323.4,280.29,10000,-13.33,-1333.02
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-13,2022,30.9219,323.4,288.35,10000,-10.84,-1083.67
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-16,2022,30.9219,323.4,292.67,10000,-9.5,-950.1
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-17,2022,30.9219,323.4,296.86,10000,-8.2,-820.45
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-18,2022,30.9219,323.4,294.03,10000,-9.08,-908.19
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-19,2022,30.9219,323.4,282.08,10000,-12.78,-1277.54
EMA_12_26,EMA,QQQ,2022-05-19,2024-12-02,2024,35.4509,282.08,511.22,10000,81.23,8123.18
EMA_12_26,EMA,QQQ,2022-05-24,2024-12-02,2024,35.5936,280.95,511.22,10000,81.96,8196.14
EMA_12_26,EMA,QQQ,2022-06-16,2024-12-02,2024,37.2132,268.72,511.22,10000,90.24,9024.11
EMA_12_26,EMA,QQQ,2022-10-11,2024-12-02,2024,38.6005,259.06,511.22,10000,97.33,9733.32
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-03,2022,30.846,324.19,263.34,10000,-18.77,-1876.99
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-04,2022,30.846,324.19,273.05,10000,-15.78,-1577.51
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-05,2022,30.846,324.19,272.36,10000,-15.99,-1598.94
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-11,2022,30.846,324.19,259.06,10000,-20.09,-2008.91
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-12,2022,30.846,324.19,257.79,10000,-20.48,-2048.16
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-13,2022,30.846,324.19,249.73,10000,-22.97,-2296.92
MACD_12_26,MACD,QQQ,2022-10-13,2024-12-04,2024,40.0437,249.73,519.13,10000,107.88,10787.74
MACD_12_26,MACD,QQQ,2022-11-09,2024-12-04,2024,38.1593,262.06,519.13,10000,98.1,9809.53
MOM_5,MOM,QQQ,2021-04-08,2022-10-13,2022,30.8008,324.67,249.73,10000,-23.08,-2308.2
MOM_5,MOM,QQQ,2021-04-08,2022-10-14,2022,30.8008,324.67,265.43,10000,-18.25,-1824.67
MOM_5,MOM,QQQ,2021-04-08,2022-10-17,2022,30.8008,324.67,261.16,10000,-19.56,-1956.11
MOM_5,MOM,QQQ,2021-04-08,2022-11-01,2022,30.8008,324.67,275.51,10000,-15.14,-1514.18
MOM_5,MOM,QQQ,2021-04-08,2022-11-02,2022,30.8008,324.67,269.22,10000,-17.08,-1707.71
MOM_5,MOM,QQQ,2021-04-08,2022-11-03,2022,30.8008,324.67,257.41,10000,-20.72,-2071.56
MOM_5,MOM,QQQ,2022-11-03,2024-12-04,2024,38.8485,257.41,519.13,10000,101.67,10167.29
MOM_5,MOM,QQQ,2022-12-28,2024-12-04,2024,38.7321,258.18,519.13,10000,101.07,10106.89
SMA_20_50,SMA,AAPL,2021-06-29,2022-12-29,2022,76.0354,131.52,125.97,10000,-4.22,-421.82
SMA_20_50,SMA,AAPL,2021-06-29,2022-12-30,2022,76.0354,131.52,126.38,10000,-3.9,-390.39
SMA_20_50,SMA,AAPL,2021-06-29,2023-01-03,2023,76.0354,131.52,128.22,10000,-2.5,-250.45
SMA_20_50,SMA,AAPL,2021-06-29,2023-01-04,2023,76.0354,131.52,124.89,10000,-5.04,-504.14
SMA_20_50,SMA,AAPL,2021-06-29,2023-01-05,2023,76.0354,131.52,125.12,10000,-4.86,-486.18
SMA_20_50,SMA,AAPL,2021-06-29,2023-01-06,2023,76.0354,131.52,124.02,10000,-5.7,-570.0
SMA_20_50,SMA,AAPL,2021-06-29,2023-01-09,2023,76.0354,131.52,128.41,10000,-2.36,-236.23
SMA_20_50,SMA,AAPL,2023-01-09,2025-10-20,2025,77.8751,128.41,261.74,10000,103.83,10383.11
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-06,2022,58.0248,172.34,144.27,10000,-16.29,-1628.8
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-07,2022,58.0248,172.34,141.64,10000,-17.81,-1781.38
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-08,2022,58.0248,172.34,145.79,10000,-15.41,-1540.55
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-09,2022,58.0248,172.34,144.32,10000,-16.26,-1625.95
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-10,2022,58.0248,172.34,137.65,10000,-20.13,-2013.11
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-13,2022,58.0248,172.34,130.38,10000,-24.35,-2435.0
SMA_50_200,SMA,AAPL,2022-06-13,2024-12-13,2024,76.7017,130.38,246.78,10000,89.29,8928.59
SMA_50_200,SMA,AAPL,2022-06-16,2024-12-13,2024,77.1604,129.6,246.78,10000,90.42,9041.8
SMA_50_200,SMA,AAPL,2023-01-03,2024-12-13,2024,77.9887,128.22,246.78,10000,92.46,9246.19
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-11,2022,41.998,238.11,221.18,10000,-7.11,-711.08
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-12,2022,41.998,238.11,219.02,10000,-8.02,-801.68
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-13,2022,41.998,238.11,213.63,10000,-10.28,-1028.17
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-14,2022,41.998,238.11,228.87,10000,-3.88,-387.88
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-17,2022,41.998,238.11,229.14,10000,-3.76,-376.45
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-28,2022,41.998,238.11,219.83,10000,-7.67,-767.4
MACD_5_20,MACD,MSFT,2022-10-28,2024-03-21,2024,45.4888,219.83,422.88,10000,92.36,9236.26
MACD_5_20,MACD,MSFT,2022-11-01,2024-03-21,2024,43.8678,227.96,422.88,10000,85.51,8550.78
MACD_5_20,MACD,MSFT,2022-11-03,2024-03-21,2024,46.7599,213.86,422.88,10000,97.74,9773.78
MACD_8_21,MACD,MSFT,2021-05-21,2022-10-12,2022,41.998,238.11,219.02,10000,-8.02,-801.68
MACD_8_21,MACD,MSFT,2021-05-21,2022-10-13,2022,41.998,238.11,213.63,10000,-10.28,-1028.17
