strategy,ticker,entry_date,exit_date,shares,entry_price,exit_price,invested,return_pct,pl_dollars
GoldenCross,AAPL,2022-01-12,2022-06-06,1.0,172.34,144.27,172.34,-0.16,-28.07
GoldenCross,AAPL,2022-01-12,2022-06-07,2.0,172.34,141.64,344.68,-0.18,-61.4
GoldenCross,AAPL,2022-01-12,2022-06-08,4.0,172.34,145.79,689.36,-0.16,-106.2
GoldenCross,AAPL,2022-01-12,2022-06-09,8.0,172.34,144.32,1378.72,-0.16,-224.17
GoldenCross,AAPL,2022-01-12,2022-06-10,16.0,172.34,137.65,2757.44,-0.2,-555.1
GoldenCross,AAPL,2022-01-12,2022-06-13,26.0,172.34,130.38,4480.84,-0.25,-1091.08
GoldenCross,AAPL,2022-06-13,2024-12-13,8.0,130.38,246.78,1043.0,-0.9,931.25
GoldenCross,AAPL,2022-06-16,2024-12-13,3.0,129.6,246.78,388.8,-0.91,351.55
GoldenCross,AAPL,2023-01-03,2024-12-13,2.0,128.22,246.78,256.45,-0.93,237.12
SMA_5_20,NVDA,2021-04-28,2022-09-16,1.0,15.33,12.73,15.33,-0.17,-2.6
SMA_5_20,NVDA,2021-04-28,2022-09-19,1.0,15.33,12.99,15.33,-0.15,-2.33
SMA_5_20,NVDA,2021-04-28,2022-09-20,2.0,15.33,13.2,30.65,-0.14,-4.26
SMA_5_20,NVDA,2021-04-28,2022-09-21,4.0,15.33,13.2,61.3,-0.14,-8.52
SMA_5_20,NVDA,2021-04-28,2022-09-22,9.0,15.33,13.05,137.93,-0.15,-20.46
SMA_5_20,NVDA,2021-04-28,2022-09-23,18.0,15.33,12.4,275.87,-0.19,-52.6
SMA_5_20,NVDA,2021-04-28,2022-09-26,36.0,15.33,12.47,551.73,-0.19,-102.64
SMA_5_20,NVDA,2021-04-28,2022-09-27,72.0,15.33,12.49,1103.46,-0.19,-204.14
SMA_5_20,NVDA,2021-04-28,2022-09-28,145.0,15.33,12.39,2222.25,-0.19,-425.16
SMA_5_20,NVDA,2021-04-28,2022-09-29,289.0,15.33,12.43,4429.18,-0.19,-836.42
SMA_5_20,NVDA,2021-04-28,2022-09-30,74.0,15.33,12.07,1134.11,-0.21,-240.85
SMA_5_20,NVDA,2022-09-30,2023-02-14,521.0,12.07,22.95,6289.08,-0.9,5666.2
SMA_5_20,NVDA,2022-10-07,2023-02-14,41.0,12.49,22.95,512.03,-0.84,428.78
SMA_5_20,NVDA,2022-10-11,2023-02-14,14.0,11.55,22.95,161.64,-0.99,159.61
SMA_5_20,NVDA,2022-10-14,2023-02-14,34.0,12.04,22.95,409.4,-0.91,370.79
EMA_12_26,NVDA,2021-05-06,2022-09-14,1.0,14.46,13.24,14.46,-0.09,-1.22
EMA_12_26,NVDA,2021-05-06,2022-09-15,2.0,14.46,13.0,28.92,-0.1,-2.92
EMA_12_26,NVDA,2021-05-06,2022-09-16,4.0,14.46,12.73,57.84,-0.12,-6.93
EMA_12_26,NVDA,2021-05-06,2022-09-19,7.0,14.46,12.99,101.21,-0.1,-10.25
EMA_12_26,NVDA,2021-05-06,2022-09-20,14.0,14.46,13.2,202.42,-0.09,-17.66
EMA_12_26,NVDA,2021-05-06,2022-09-21,28.0,14.46,13.2,404.85,-0.09,-35.37
EMA_12_26,NVDA,2021-05-06,2022-09-22,57.0,14.46,13.05,824.15,-0.1,-80.14
EMA_12_26,NVDA,2021-05-06,2022-09-23,120.0,14.46,12.4,1735.06,-0.14,-246.61
EMA_12_26,NVDA,2021-05-06,2022-09-26,238.0,14.46,12.47,3441.2,-0.14,-472.23
EMA_12_26,NVDA,2021-05-06,2022-09-27,219.0,14.46,12.49,3166.48,-0.14,-431.03
EMA_12_26,NVDA,2022-09-27,2023-02-14,256.0,12.49,22.95,3197.6,-0.84,2676.78
EMA_12_26,NVDA,2022-09-29,2023-02-14,35.0,12.43,22.95,435.11,-0.85,368.03
EMA_12_26,NVDA,2022-10-07,2023-02-14,7.0,12.49,22.95,87.42,-0.84,73.21
EMA_12_26,NVDA,2022-10-11,2023-02-14,15.0,11.55,22.95,173.19,-0.99,171.01
EMA_12_26,NVDA,2022-10-14,2023-02-14,37.0,12.04,22.95,445.52,-0.91,403.51
GoldenCross,NVDA,2022-01-12,2022-05-09,1.0,28.01,18.0,28.01,-0.36,-10.01
GoldenCross,NVDA,2022-01-12,2022-05-10,2.0,28.01,17.66,56.02,-0.37,-20.71
GoldenCross,NVDA,2022-01-12,2022-05-11,4.0,28.01,17.32,112.04,-0.38,-42.78
GoldenCross,NVDA,2022-01-12,2022-05-12,8.0,28.01,16.19,224.09,-0.42,-94.57
GoldenCross,NVDA,2022-01-12,2022-05-13,16.0,28.01,16.76,448.18,-0.4,-180.06
GoldenCross,NVDA,2022-01-12,2022-05-16,30.0,28.01,17.48,840.34,-0.38,-316.02
GoldenCross,NVDA,2022-01-12,2022-05-17,58.0,28.01,18.04,1624.65,-0.36,-578.26
GoldenCross,NVDA,2022-01-12,2022-05-18,119.0,28.01,17.67,3333.34,-0.37,-1230.27
GoldenCross,NVDA,2022-01-12,2022-05-19,118.0,28.01,16.91,3305.32,-0.4,-1310.39
GoldenCross,NVDA,2022-05-19,2023-02-14,130.0,16.91,22.95,2197.81,-0.36,785.27
GoldenCross,NVDA,2022-05-23,2023-02-14,9.0,16.24,22.95,146.2,-0.42,60.32
GoldenCross,NVDA,2022-06-13,2023-02-14,27.0,15.97,22.95,431.31,-0.44,188.26
GoldenCross,NVDA,2022-06-29,2023-02-14,3.0,15.79,22.95,47.37,-0.46,21.47
GoldenCross,NVDA,2022-07-01,2023-02-14,41.0,14.88,22.95,609.88,-0.55,330.94
GoldenCross,NVDA,2022-09-02,2023-02-14,24.0,14.08,22.95,337.86,-0.63,212.87
GoldenCross,NVDA,2022-09-13,2023-02-14,29.0,13.78,22.95,399.73,-0.67,265.72
GoldenCross,NVDA,2022-09-15,2023-02-14,19.0,13.0,22.95,246.96,-0.77,189.03
GoldenCross,NVDA,2022-09-23,2023-02-14,8.0,12.4,22.95,99.23,-0.85,84.34
GoldenCross,NVDA,2022-09-29,2023-02-14,2.0,12.43,22.95,24.86,-0.85,21.03
GoldenCross,NVDA,2022-10-07,2023-02-14,7.0,12.49,22.95,87.42,-0.84,73.21
GoldenCross,NVDA,2022-10-11,2023-02-14,15.0,11.55,22.95,173.19,-0.99,171.01
GoldenCross,NVDA,2022-10-14,2023-02-14,37.0,12.04,22.95,445.52,-0.91,403.51
