strategy,ret,max_drawdown,sharpe,trades,win_rate,initial_capital,final_value,profit_loss
GoldenCross,13.49,-8.01,0.46,15,86.67,10000,11348.94,1348.94
DeathCross,-2.49,-6.39,-0.22,16,36.67,10000,9751.02,-248.98
EMACross,-49.88,-69.52,-0.08,51,57.62,10000,5011.55,-4988.45
DualEMA,-59.05,-76.38,-0.08,65,51.03,10000,4095.06,-5904.94
RSIMomentum,-61.43,-79.8,-0.11,61,60.53,10000,3857.34,-6142.66
BollingerBounce,-71.54,-81.33,-0.06,95,47.89,10000,2845.94,-7154.06
MACDCrossover,-72.94,-83.16,-0.09,139,43.38,10000,2705.51,-7294.49
TripleEMA,-75.54,-86.69,-0.03,130,47.27,10000,2446.09,-7553.91
RSIReversal,-77.1,-88.17,-0.04,127,46.01,10000,2290.35,-7709.65
SupportBounce,-86.5,-89.39,0.02,246,28.33,10000,1350.38,-8649.62
MeanReversion,-86.65,-89.48,0.01,217,29.63,10000,1334.61,-8665.39
TrendPullback,-86.82,-89.52,-0.03,232,29.7,10000,1317.59,-8682.41
StochasticCross,-88.55,-91.62,-0.08,213,22.07,10000,1144.58,-8855.42
SupportResistance,-89.22,-92.29,-0.08,189,24.24,10000,1078.46,-8921.54
DMA50,-89.83,-90.17,0.04,439,19.82,10000,1016.76,-8983.24
EMAPullback,-90.01,-90.22,-0.0,414,17.86,10000,998.91,-9001.09
GapFill,-90.03,-90.06,-0.03,258,19.16,10000,997.02,-9002.98
ADXTrend,-91.52,-92.28,-0.05,226,18.01,10000,847.97,-9152.03
ROCMomentum,-91.71,-92.41,-0.05,318,15.09,10000,828.69,-9171.31
ATRTrailingStop,-95.88,-97.34,-0.07,284,5.49,10000,412.48,-9587.52
