strategy,ticker,entry_date,exit_date,shares,entry_price,exit_price,invested,return_pct,pl_dollars
GoldenCross,TSLA,2022-06-03,2023-06-06,4.0,243.23,221.31,972.91,0.09,-87.67
GoldenCross,TSLA,2022-06-07,2023-06-06,1.0,234.0,221.31,234.0,0.05,-12.69
GoldenCross,TSLA,2022-10-14,2023-06-06,3.0,224.01,221.31,672.03,0.01,-8.1
GoldenCross,TSLA,2022-06-13,2023-06-06,4.0,223.17,221.31,892.67,0.01,-7.43
GoldenCross,AMZN,2022-01-12,2022-02-02,27.0,166.57,155.05,4497.52,-0.07,-311.16
GoldenCross,AMZN,2022-01-12,2022-02-01,14.0,166.57,150.0,2332.05,-0.1,-232.05
GoldenCross,AMZN,2022-01-12,2022-01-31,7.0,166.57,144.75,1166.02,-0.13,-152.77
GoldenCross,AMZN,2022-01-12,2022-01-26,1.0,166.57,144.75,166.57,-0.13,-21.82
GoldenCross,TSLA,2022-11-08,2023-06-06,3.0,194.02,221.31,582.06,-0.14,81.87
GoldenCross,AMZN,2022-02-23,2024-02-02,4.0,151.65,171.81,606.6,-0.14,80.64
GoldenCross,AMZN,2022-01-12,2022-02-03,4.0,166.57,141.74,666.3,-0.15,-99.35
GoldenCross,AMZN,2022-01-12,2022-01-28,4.0,166.57,140.86,666.3,-0.16,-102.86
GoldenCross,AAPL,2022-01-12,2022-06-06,1.0,172.34,144.27,172.34,-0.16,-28.07
GoldenCross,AAPL,2022-01-12,2022-06-09,8.0,172.34,144.32,1378.72,-0.16,-224.17
GoldenCross,AAPL,2022-01-12,2022-06-08,4.0,172.34,145.79,689.36,-0.16,-106.2
GoldenCross,AMZN,2022-01-12,2022-01-27,2.0,166.57,140.8,333.15,-0.16,-51.55
GoldenCross,AAPL,2022-01-12,2022-06-07,2.0,172.34,141.64,344.68,-0.18,-61.4
GoldenCross,AAPL,2022-01-12,2022-06-10,16.0,172.34,137.65,2757.44,-0.2,-555.1
GoldenCross,AMZN,2022-02-03,2024-02-02,55.0,141.74,171.81,7795.56,-0.21,1653.99
GoldenCross,AAPL,2022-01-12,2022-06-13,26.0,172.34,130.38,4480.84,-0.25,-1091.09
GoldenCross,TSLA,2022-11-21,2023-06-06,7.0,175.85,221.31,1230.95,-0.26,318.22
GoldenCross,AMZN,2022-03-08,2024-02-02,2.0,136.68,171.81,273.37,-0.26,70.25
GoldenCross,TSLA,2022-12-13,2023-06-06,5.0,174.87,221.31,874.35,-0.27,232.2
GoldenCross,TSLA,2022-01-12,2022-05-31,2.0,359.62,257.95,719.23,-0.28,-203.34
GoldenCross,TSLA,2022-01-12,2022-06-01,4.0,359.62,251.72,1438.47,-0.3,-431.59
GoldenCross,TSLA,2022-01-12,2022-06-02,8.0,359.62,244.16,2876.93,-0.32,-923.68
GoldenCross,TSLA,2022-01-12,2022-06-03,12.0,359.62,243.23,4315.4,-0.33,-1396.68
GoldenCross,TSLA,2022-01-12,2022-05-27,1.0,359.62,241.08,359.62,-0.33,-118.53
GoldenCross,NVDA,2022-01-12,2022-05-09,1.0,28.01,18.0,28.01,-0.36,-10.01
GoldenCross,NVDA,2022-01-12,2022-05-17,58.0,28.01,18.04,1624.65,-0.36,-578.26
GoldenCross,NVDA,2022-05-19,2023-02-14,130.0,16.91,22.95,2197.81,-0.36,785.27
GoldenCross,NVDA,2022-01-12,2022-05-10,2.0,28.01,17.66,56.02,-0.37,-20.71
GoldenCross,NVDA,2022-01-12,2022-05-18,119.0,28.01,17.67,3333.34,-0.37,-1230.27
GoldenCross,NVDA,2022-01-12,2022-05-16,30.0,28.01,17.48,840.34,-0.38,-316.02
GoldenCross,NVDA,2022-01-12,2022-05-11,4.0,28.01,17.32,112.04,-0.38,-42.78
GoldenCross,AMZN,2022-05-03,2024-02-02,1.0,124.05,171.81,124.05,-0.39,47.76
GoldenCross,TSLA,2022-12-16,2023-06-06,6.0,159.64,221.31,957.84,-0.39,370.02
GoldenCross,NVDA,2022-01-12,2022-05-19,118.0,28.01,16.91,3305.32,-0.4,-1310.39
GoldenCross,NVDA,2022-01-12,2022-05-13,16.0,28.01,16.76,448.18,-0.4,-180.06
GoldenCross,NVDA,2022-05-23,2023-02-14,9.0,16.24,22.95,146.2,-0.42,60.32
GoldenCross,NVDA,2022-01-12,2022-05-12,8.0,28.01,16.19,224.09,-0.42,-94.57
GoldenCross,NVDA,2022-06-13,2023-02-14,27.0,15.97,22.95,431.31,-0.44,188.26
GoldenCross,NVDA,2022-06-29,2023-02-14,3.0,15.79,22.95,47.37,-0.46,21.47
GoldenCross,AMZN,2022-05-06,2024-02-02,4.0,114.85,171.81,459.4,-0.5,227.84
GoldenCross,TSLA,2022-12-20,2023-06-06,12.0,146.05,221.31,1752.6,-0.52,903.12
GoldenCross,NFLX,2022-01-12,2022-04-20,1.0,54.43,24.52,54.43,-0.55,-29.91
GoldenCross,NVDA,2022-07-01,2023-02-14,41.0,14.88,22.95,609.88,-0.55,330.94
GoldenCross,AMZN,2022-05-11,2024-02-02,7.0,108.1,171.81,756.72,-0.59,445.95
GoldenCross,NFLX,2022-01-12,2022-04-21,2.0,54.43,22.0,108.85,-0.6,-64.85
GoldenCross,NFLX,2022-01-12,2022-04-22,4.0,54.43,22.02,217.71,-0.6,-129.64
GoldenCross,NFLX,2022-01-12,2022-04-25,8.0,54.43,21.38,435.42,-0.61,-264.37
GoldenCross,NFLX,2022-01-12,2022-04-26,17.0,54.43,20.88,925.26,-0.62,-570.3
GoldenCross,TSLA,2022-12-22,2023-06-06,16.0,136.0,221.31,2176.0,-0.63,1364.96
GoldenCross,NVDA,2022-09-02,2023-02-14,24.0,14.08,22.95,337.86,-0.63,212.87
GoldenCross,NFLX,2022-01-12,2022-04-29,42.0,54.43,19.87,2285.93,-0.64,-1451.48
GoldenCross,NFLX,2022-01-12,2022-04-27,36.0,54.43,19.4,1959.37,-0.64,-1260.94
GoldenCross,NFLX,2022-01-12,2022-04-28,73.0,54.43,19.16,3973.17,-0.65,-2574.78
GoldenCross,AMZN,2022-06-13,2024-02-02,1.0,104.19,171.81,104.19,-0.65,67.62
GoldenCross,AMZN,2022-11-01,2024-02-02,13.0,103.99,171.81,1351.87,-0.65,881.66
GoldenCross,NVDA,2022-09-13,2023-02-14,29.0,13.78,22.95,399.73,-0.67,265.72
GoldenCross,NFLX,2022-05-05,2023-01-20,14.0,20.05,34.25,280.63,-0.71,198.87
GoldenCross,NFLX,2022-04-29,2023-01-20,99.0,19.87,34.25,1966.93,-0.73,1423.82
GoldenCross,NVDA,2022-09-15,2023-02-14,19.0,13.0,22.95,246.96,-0.77,189.03
GoldenCross,NVDA,2022-10-07,2023-02-14,7.0,12.49,22.95,87.42,-0.84,73.21
GoldenCross,NVDA,2022-09-29,2023-02-14,2.0,12.43,22.95,24.86,-0.85,21.03
GoldenCross,NVDA,2022-09-23,2023-02-14,8.0,12.4,22.95,99.23,-0.85,84.34
GoldenCross,AMZN,2022-11-03,2024-02-02,11.0,92.47,171.81,1017.17,-0.86,872.74
GoldenCross,TSLA,2022-12-27,2023-06-06,27.0,117.5,221.31,3172.5,-0.89,2802.87
GoldenCross,AAPL,2022-06-13,2024-12-13,8.0,130.38,246.78,1043.0,-0.9,931.25
GoldenCross,AAPL,2022-06-16,2024-12-13,3.0,129.6,246.78,388.8,-0.91,351.55
GoldenCross,NVDA,2022-10-14,2023-02-14,37.0,12.04,22.95,445.52,-0.91,403.51
GoldenCross,NFLX,2022-05-09,2023-01-20,20.0,17.77,34.25,355.32,-0.93,329.68
GoldenCross,AAPL,2023-01-03,2024-12-13,2.0,128.22,246.78,256.45,-0.93,237.12
GoldenCross,AMZN,2022-12-19,2024-02-02,6.0,87.51,171.81,525.06,-0.97,505.8
GoldenCross,NVDA,2022-10-11,2023-02-14,15.0,11.55,22.95,173.19,-0.99,171.01
GoldenCross,AMZN,2022-12-27,2024-02-02,3.0,84.97,171.81,254.91,-1.03,260.52
