strategy,ticker,entry_date,exit_date,shares,entry_price,exit_price,invested,pl_dollars,return_pct
GoldenCross,TSLA,2025-01-16,2025-04-23,8.0,423.49,254.86,3387.92,-1349.04,-0.4
GoldenCross,TSLA,2025-01-16,2025-04-16,1.0,423.49,247.61,423.49,-175.88,-0.42
GoldenCross,TSLA,2025-01-16,2025-04-17,2.0,423.49,243.47,846.98,-360.04,-0.43
GoldenCross,TSLA,2025-01-16,2025-04-21,4.0,423.49,230.26,1693.96,-772.92,-0.46
GoldenCross,TSLA,2025-01-16,2025-04-22,8.0,423.49,230.96,3387.92,-1540.24,-0.46
MACD_5_15_5,GOOGL,2024-04-24,2024-10-08,2.0,156.2,163.0,312.4,13.6,0.04
MACD_5_15_5,GOOGL,2024-04-24,2024-10-09,4.0,156.2,162.51,624.8,25.25,0.04
MACD_5_15_5,GOOGL,2024-04-24,2024-10-14,31.0,156.2,162.7,4842.17,201.55,0.04
MACD_5_15_5,GOOGL,2024-04-24,2024-10-11,16.0,156.2,161.2,2499.18,80.0,0.03
MACD_5_15_5,GOOGL,2024-04-24,2024-10-10,8.0,156.2,159.95,1249.59,29.98,0.02
MACD_5_15_5,GOOGL,2024-04-24,2024-09-12,1.0,156.2,152.92,156.2,-3.28,-0.02
MACD_5_15_5,GOOGL,2024-04-24,2024-09-11,1.0,156.2,149.06,156.2,-7.14,-0.05
MACD_5_15_5,GOOGL,2024-10-14,2025-11-10,1.0,162.7,289.71,162.7,127.01,-0.78
MACD_5_15_5,GOOGL,2024-10-18,2025-11-10,2.0,162.25,289.71,324.51,254.91,-0.79
MACD_5_15_5,GOOGL,2025-04-03,2025-11-10,3.0,150.59,289.71,451.76,417.36,-0.93
MACD_5_15_5,GOOGL,2025-04-08,2025-11-10,1.0,150.7,289.71,150.7,139.01,-0.93
SMA_5_20,AMZN,2024-05-07,2024-08-12,16.0,188.92,168.14,3022.72,-332.48,-0.11
SMA_5_20,AMZN,2024-05-07,2024-08-13,20.0,188.92,167.81,3778.4,-422.2,-0.11
SMA_5_20,AMZN,2024-05-07,2024-08-07,2.0,188.92,166.55,377.84,-44.74,-0.12
SMA_5_20,AMZN,2024-05-07,2024-08-09,8.0,188.92,166.4,1511.36,-180.16,-0.12
SMA_5_20,AMZN,2024-05-07,2024-08-08,4.0,188.92,165.17,755.68,-95.0,-0.13
SMA_5_20,AMZN,2024-05-07,2024-08-06,1.0,188.92,161.71,188.92,-27.21,-0.15
SMA_5_20,AMZN,2024-05-07,2024-08-05,1.0,188.92,154.21,188.92,-34.71,-0.19
