strategy,ticker,return,max_drawdown,sharpe,trades
SMA20Cross,SPY,0.9250017564388872,-2.6767374986688686,0.22615304874279682,11
EMAReversal,SPY,4.214666402548355,-2.1806818130915784,0.5874013969831282,1
ParabolicSAR,SPY,-23.56765561394872,-28.348923782057078,-0.6686990612447622,17
KeltnerChannel,SPY,2.335564820586296,-0.6509409934977839,0.6948048838313522,8
IchimokuCloud,SPY,3.011668666972455,-1.759956108561056,0.7156193527696879,22
DPO,SPY,-19.137776094380495,-23.471645698838685,-0.6067159080692159,38
PriceChannel,SPY,0.0,-0.0,,0
MassIndex,SPY,-0.10099375760226394,-0.10099375760226348,-0.5459385913208896,1
SMA20Cross,QQQ,-30.909957872303373,-38.756564975990926,-0.7580834410035451,2
EMAReversal,QQQ,1.837395432523881,-2.3850267540385883,0.25530056540521856,6
ParabolicSAR,QQQ,-100.0,-100.0,0.0,18
KeltnerChannel,QQQ,-17.73171991922583,-23.94985415421511,-0.59445676048697,4
IchimokuCloud,QQQ,-100.0,-100.0,0.0,17
DPO,QQQ,-100.0,-100.0,0.0,17
PriceChannel,QQQ,0.0,-0.0,,0
MassIndex,QQQ,0.0,-0.0,,0
SMA20Cross,AAPL,-29.981433429562976,-44.31921517573254,-0.46142046587676533,2
EMAReversal,AAPL,-57.09860537163996,-81.58917519739903,-0.37138976408522306,2
ParabolicSAR,AAPL,-100.0,-100.0,0.0,16
KeltnerChannel,AAPL,-44.74551837057491,-61.20805546502008,-0.46387061779039135,2
IchimokuCloud,AAPL,-100.0,-100.0,0.0,23
DPO,AAPL,-100.0,-100.0,0.0,25
PriceChannel,AAPL,0.0,-0.0,,0
MassIndex,AAPL,0.0,-0.0,,0
SMA20Cross,MSFT,-15.08529664358506,-44.693212560822396,-0.22527245382318586,2
EMAReversal,MSFT,-31.378115122041443,-82.23866598572175,-0.15821799249097215,2
ParabolicSAR,MSFT,-100.0,-100.0,0.0,15
KeltnerChannel,MSFT,-24.88105254116399,-50.43501829246748,-0.347549134257354,2
IchimokuCloud,MSFT,-100.0,-100.0,0.0,16
DPO,MSFT,-100.0,-100.0,0.0,23
PriceChannel,MSFT,0.0,-0.0,,0
MassIndex,MSFT,0.0,-0.0,,0
