strategy,ticker,return,max_drawdown,sharpe,trades
TrendSMA20,SPY,-19.137776094380495,-23.471645698838685,-0.6067159080692159,38
TrendSMA50,SPY,1.672017163735272,-1.7278187191446803,0.40208297829744716,41
TrendEMA9,SPY,-20.788140368252243,-24.758791049958116,-0.7049227641763892,68
TrendEMA21,SPY,0.3646637042398288,-2.603585017738763,0.08987498381790175,76
TrendEMA50,SPY,2.5545247800644577,-1.5075395234815825,0.5938525998160834,47
TrendEMA100,SPY,3.6464991859947262,-1.6068538262143162,0.8196223895837809,26
TrendEMA200,SPY,2.4997045945801077,-2.7329270400483274,0.4861135842522091,26
MeanRev20,SPY,0.9580314564983382,-1.1722312867602946,0.22333980109916476,4
MeanRev50,SPY,1.7957052186154758,-1.1722312867602946,0.44309023892644667,5
BollingerBreakout,SPY,-23.977258171672275,-28.55120540001672,-0.6786034999350337,20
RSIOverbought,SPY,0.4447706177571672,-1.7930581792281242,0.09162977530943009,4
StochasticOverbought,SPY,-22.596259619329647,-27.569870512512374,-0.6417610343559903,23
WeeklyMomentum,SPY,-1.0291159312301532,-1.0291159312301512,-0.920766755323524,19
MonthlyMomentum,SPY,-23.560232308172218,-28.27600271758639,-0.6682902924715796,20
TrendSMA20,QQQ,-100.0,-100.0,0.0,17
TrendSMA50,QQQ,-100.0,-100.0,0.0,20
TrendEMA9,QQQ,-100.0,-100.0,0.0,18
TrendEMA21,QQQ,-100.0,-100.0,0.0,18
TrendEMA50,QQQ,-100.0,-100.0,0.0,17
TrendEMA100,QQQ,-100.0,-100.0,0.0,19
TrendEMA200,QQQ,-100.0,-100.0,0.0,19
MeanRev20,QQQ,-78.73235524379189,-94.41264639471248,-0.3549928777007084,2
MeanRev50,QQQ,4.240648711032845,-1.7010666866875135,0.6181969118582175,10
BollingerBreakout,QQQ,-100.0,-100.0,0.0,21
RSIOverbought,QQQ,0.7843314358211865,-1.9691029401573412,0.12367218748674941,5
StochasticOverbought,QQQ,-100.0,-100.0,0.0,16
WeeklyMomentum,QQQ,-0.6527713295078319,-0.9880546867437556,-0.4776554420690817,18
MonthlyMomentum,QQQ,-100.0,-100.0,0.0,24
TrendSMA20,AAPL,-100.0,-100.0,0.0,25
TrendSMA50,AAPL,-100.0,-100.0,0.0,22
TrendEMA9,AAPL,-100.0,-100.0,0.0,14
TrendEMA21,AAPL,-100.0,-100.0,0.0,15
TrendEMA50,AAPL,-100.0,-100.0,0.0,14
TrendEMA100,AAPL,-100.0,-100.0,0.0,19
TrendEMA200,AAPL,-100.0,-100.0,0.0,23
MeanRev20,AAPL,-66.86157446824912,-89.31117807361288,-0.3564990614119537,2
MeanRev50,AAPL,-61.70524294976587,-86.55447342448865,-0.34574417316774586,2
BollingerBreakout,AAPL,-100.0,-100.0,0.0,25
RSIOverbought,AAPL,-48.21758016355209,-68.54395054461139,-0.42354559404403946,2
StochasticOverbought,AAPL,-74.61114732112094,-98.200887828201,-0.20171623267948643,3
WeeklyMomentum,AAPL,-18.55523851516422,-45.421575448737684,-0.2430704199644285,4
MonthlyMomentum,AAPL,-100.0,-100.0,0.0,24
TrendSMA20,MSFT,-100.0,-100.0,0.0,23
TrendSMA50,MSFT,-100.0,-100.0,0.0,23
TrendEMA9,MSFT,-100.0,-100.0,0.0,16
TrendEMA21,MSFT,-100.0,-100.0,0.0,16
TrendEMA50,MSFT,-100.0,-100.0,0.0,16
TrendEMA100,MSFT,-100.0,-100.0,0.0,21
TrendEMA200,MSFT,-100.0,-100.0,0.0,22
MeanRev20,MSFT,-33.666535991041286,-99.60226975083938,-2.6543808684351596e-05,2
MeanRev50,MSFT,-34.304960637833354,-94.4808139439403,-0.08395523656164469,2
BollingerBreakout,MSFT,-100.0,-100.0,0.0,19
RSIOverbought,MSFT,4.450921501520206,-2.099425163173385,0.5277259529457122,6
StochasticOverbought,MSFT,-100.0,-100.0,0.0,14
WeeklyMomentum,MSFT,-100.0,-100.0,0.0,25
MonthlyMomentum,MSFT,-100.0,-100.0,0.0,22
TrendSMA20,GOOGL,-100.0,-100.0,0.0,56
TrendSMA50,GOOGL,-100.0,-100.0,0.0,56
TrendEMA9,GOOGL,-100.0,-100.0,0.0,43
TrendEMA21,GOOGL,-100.0,-100.0,0.0,52
