strategy,ticker,return,max_drawdown,sharpe,trades
MTF_SMA,SPY,-22.994382094413297,-27.72475251592632,-0.6525040354882099,20
TrailStop,SPY,2.491041970849401,-2.587275864059535,0.4510209386504273,8
PullbackTrend,SPY,-23.807776881805655,-28.707196062278683,-0.6718458416013569,27
RSITrend,SPY,1.2668114548881568,-0.36278362062726055,0.7237890487617511,5
MACDHist,SPY,0.6525804947267352,-1.3778923426048029,0.1703382078446543,59
Ribbon,SPY,3.4110397878247753,-1.205150677156075,0.8459119978293939,8
SMA3,SPY,-22.02133483699143,-26.538605904547385,-0.6787258140801069,125
SMA7,SPY,-21.77349537632723,-25.945583418207285,-0.6753490697925917,77
SMA8,SPY,-21.12672516132865,-25.29014563181262,-0.6581228233943407,71
SMA13,SPY,-20.37530624574726,-24.685399614745563,-0.6385330123599593,49
SMA21,SPY,-19.14331963968475,-23.49799842394186,-0.6070875979791464,39
SMA25,SPY,2.8996718240771586,-1.2565772411378018,0.7167331110591346,57
SMA30,SPY,1.8269280349899053,-1.5688747279904214,0.45026519466813225,57
SMA35,SPY,1.3617908367157179,-1.750526491665394,0.3443744816413616,46
SMA40,SPY,2.537874755083085,-1.1360714152561013,0.6267594968551953,44
SMA45,SPY,1.6531564899830848,-1.8011350262654213,0.41524257730452624,41
SMA55,SPY,1.7136218169325004,-1.8016879541959518,0.41186705308269345,45
SMA60,SPY,1.426397748291165,-1.798906127246802,0.3353802841869256,45
SMA65,SPY,1.125032210711288,-1.7043888468887047,0.2773688598103119,45
SMA70,SPY,1.5821609508038637,-1.6250583989536938,0.3728313941823275,38
SMA75,SPY,1.800814713956679,-1.6894075211410953,0.4246085519845136,35
SMA80,SPY,2.3071904679652833,-1.5442696275281609,0.551297616150853,31
SMA90,SPY,2.554911823696457,-1.498460907111221,0.598732242150853,23
SMA100,SPY,2.849881816325087,-1.551502656703574,0.6664090573834719,22
SMA120,SPY,2.5831223352967574,-1.824142941683371,0.6043238635571809,21
SMA150,SPY,2.9832589527243543,-1.7898477689498038,0.6235256638788347,16
SMA180,SPY,0.9326277350925921,-3.0361727021779306,0.19783747392993292,21
EMA5,SPY,-20.325338664847095,-24.537285055576607,-0.6883258334258473,95
EMA6,SPY,-20.546376753449202,-24.661255598678533,-0.6953497020898572,90
EMA7,SPY,-20.463926196499823,-24.41517979098021,-0.6936719506840385,83
EMA8,SPY,-20.340358619434117,-24.28865425586212,-0.6909227916173205,75
EMA9,SPY,-20.788140368252243,-24.758791049958116,-0.7049227641763892,68
EMA10,SPY,-20.485109976574943,-24.45784023133244,-0.6968557276323099,62
EMA11,SPY,-20.28691087585248,-24.33644143684852,-0.6920915576027855,60
EMA12,SPY,-21.314185425650848,-25.724649257030197,-0.6668756717341435,58
EMA13,SPY,-21.345512885288308,-25.767577364246918,-0.6685917377513503,55
EMA14,SPY,-21.107175620787903,-25.51649702005725,-0.6618575137815592,51
EMA15,SPY,-20.6167861631537,-25.06206893780717,-0.6487063738488968,51
EMA16,SPY,-20.51117365501852,-24.960430900958396,-0.6456776092821372,51
EMA17,SPY,-20.34646996760037,-24.789466252178507,-0.6418585467447904,51
EMA18,SPY,-19.570023469397565,-24.01710349201329,-0.6206224406485082,52
EMA19,SPY,-19.401546965742543,-23.849513094365594,-0.6157813991111536,51
EMA20,SPY,-0.48015922414118906,-2.7388321353135403,-0.12270500738185242,82
EMA25,SPY,0.734690800412045,-2.130169156122552,0.18122718621448666,69
EMA30,SPY,2.00829105053559,-1.4377948928084416,0.4814055420163117,61
EMA35,SPY,1.941026838439575,-1.6673767009849572,0.46504331585966174,57
EMA40,SPY,2.1038377219944593,-1.5637856021689323,0.5007638292025622,58
EMA45,SPY,2.95086375503688,-1.1936923911096908,0.6928775324035368,54
EMA55,SPY,2.286937731340804,-1.8003422470246888,0.5306600529328163,48
EMA65,SPY,1.5679142660125034,-1.8761963112926328,0.35392653992972,43
EMA75,SPY,2.3113835852551707,-1.5338976239200552,0.5470420237486271,33
EMA85,SPY,3.1822099666528083,-1.3771142344444431,0.7518979568920781,27
EMA100,SPY,3.6464991859947262,-1.6068538262143162,0.8196223895837809,26
EMA125,SPY,2.837800914740983,-2.4291809379226037,0.631718183702981,25
EMA150,SPY,2.3483695776110656,-3.2715382333800003,0.4660546532786509,29
MTF_SMA,QQQ,-100.0,-100.0,0.0,17
TrailStop,QQQ,-100.0,-100.0,0.0,18
PullbackTrend,QQQ,-100.0,-100.0,0.0,25
RSITrend,QQQ,-47.64733918170357,-56.88737255020191,-0.6754635901440714,4
MACDHist,QQQ,-61.80784173208828,-75.90973834107392,-0.6397823545103173,2
Ribbon,QQQ,-100.0,-100.0,0.0,21
SMA3,QQQ,-100.0,-100.0,0.0,18
SMA7,QQQ,-100.0,-100.0,0.0,18
SMA8,QQQ,-100.0,-100.0,0.0,18
SMA13,QQQ,-100.0,-100.0,0.0,18
SMA21,QQQ,-100.0,-100.0,0.0,17
SMA25,QQQ,-100.0,-100.0,0.0,17
SMA30,QQQ,-100.0,-100.0,0.0,20
SMA35,QQQ,-100.0,-100.0,0.0,20
SMA40,QQQ,-100.0,-100.0,0.0,20
SMA45,QQQ,-100.0,-100.0,0.0,20
