strategy,ticker,entry_date,exit_date,shares,entry_price,exit_price,invested,return_pct,pl_dollars
DeathCross,AMZN,2021-11-10,2023-03-13,4,178.19,89.97,712.77,0.49,-352.89
DeathCross,AMZN,2021-09-23,2023-03-13,1,169.0,89.97,169.0,0.47,-79.03
DeathCross,AMZN,2022-03-29,2023-03-13,5,170.38,89.97,851.92,0.47,-402.07
DeathCross,AMZN,2021-09-23,2022-09-21,8,169.0,122.49,1352.02,0.27,-372.1
DeathCross,AMZN,2022-07-21,2023-03-13,19,123.2,89.97,2340.8,0.27,-631.37
DeathCross,AMZN,2021-06-23,2022-04-29,42,175.25,129.85,7360.5,0.26,-1906.84
DeathCross,AMZN,2021-09-23,2022-04-29,1,169.0,129.85,169.0,0.23,-39.15
DeathCross,QQQ,2021-06-17,2022-12-30,5,329.92,258.63,1649.59,0.21,-356.46
DeathCross,NFLX,2021-06-30,2023-06-15,176,53.41,44.53,9399.46,0.16,-1562.7
DeathCross,QQQ,2021-06-17,2022-09-15,5,329.92,287.29,1649.59,0.13,-213.12
DeathCross,TSLA,2021-07-06,2023-04-03,3,227.24,199.91,681.71,0.12,-81.98
DeathCross,MSFT,2021-06-18,2023-01-11,7,249.71,225.37,1747.94,0.1,-170.32
DeathCross,AMZN,2021-06-23,2021-10-12,6,175.25,162.85,1051.5,0.07,-74.4
DeathCross,AMZN,2021-06-23,2021-08-16,7,175.25,164.15,1226.75,0.06,-77.7
DeathCross,QQQ,2021-06-17,2022-04-29,4,329.92,315.63,1319.67,0.04,-57.14
DeathCross,MSFT,2021-06-18,2022-09-15,3,249.71,242.7,749.12,0.03,-21.02
DeathCross,AMZN,2021-06-23,2021-12-23,2,175.25,170.43,350.5,0.03,-9.64
DeathCross,NFLX,2021-06-30,2021-08-17,11,53.41,51.55,587.47,0.03,-20.45
DeathCross,AAPL,2021-06-29,2022-12-20,2,131.52,129.32,263.04,0.01,-4.4
DeathCross,TSLA,2021-07-06,2024-12-02,40,227.24,357.09,9089.47,-0.57,5194.13
DeathCross,META,2021-10-01,2022-12-20,1,338.95,112.38,338.95,-0.67,-226.57
DeathCross,AMZN,2022-07-21,2024-11-06,67,123.2,207.09,8254.4,-0.68,5620.63
DeathCross,QQQ,2021-06-17,2025-09-18,16,329.92,593.12,5278.67,-0.8,4211.21
DeathCross,MSFT,2023-02-08,2025-07-31,4,266.21,530.42,1064.85,-1.0,1056.82
DeathCross,NFLX,2022-07-22,2023-06-15,524,22.24,44.53,11652.71,-1.01,11679.44
DeathCross,AAPL,2021-06-29,2025-10-28,73,131.52,268.49,9600.79,-1.04,9998.86
DeathCross,AMZN,2023-04-06,2024-11-06,31,100.75,207.09,3123.25,-1.06,3296.54
DeathCross,TSLA,2024-05-17,2024-12-02,17,173.55,357.09,2950.35,-1.06,3120.18
DeathCross,MSFT,2021-06-18,2025-07-31,30,249.71,530.42,7491.17,-1.13,8421.39
DeathCross,QQQ,2022-11-22,2025-09-18,12,276.62,593.12,3319.47,-1.15,3797.94
GoldenCross,META,2022-05-03,2022-12-20,45,208.81,112.38,9396.51,0.46,-4339.5
GoldenCross,META,2022-01-24,2022-08-16,4,295.52,178.04,1182.08,0.4,-469.91
GoldenCross,META,2021-10-01,2022-04-13,28,338.95,210.17,9490.6,0.38,-3605.82
GoldenCross,META,2021-12-15,2022-04-13,1,329.9,210.17,329.9,0.36,-119.73
GoldenCross,GOOGL,2021-10-08,2022-12-08,41,138.43,94.6,5675.75,0.31,-1797.22
GoldenCross,META,2022-09-09,2022-12-20,43,161.98,112.38,6965.09,0.3,-2132.83
GoldenCross,META,2022-01-24,2022-04-13,2,295.52,210.17,591.04,0.29,-170.7
GoldenCross,GOOGL,2021-10-08,2022-07-19,10,138.43,109.94,1384.33,0.2,-284.92
GoldenCross,META,2022-05-03,2022-08-16,19,208.81,178.04,3967.42,0.15,-584.6
GoldenCross,NVDA,2021-10-13,2022-08-05,48,20.87,18.78,1001.95,0.1,-100.52
GoldenCross,META,2021-10-01,2021-11-29,1,338.95,334.27,338.95,0.01,-4.68
GoldenCross,GOOGL,2021-10-08,2024-06-21,21,138.43,178.36,2907.09,-0.29,838.51
GoldenCross,NVDA,2021-10-13,2023-03-31,430,20.87,27.75,8975.76,-0.33,2957.78
GoldenCross,GOOGL,2022-04-26,2024-06-21,23,121.29,178.36,2789.72,-0.47,1312.61
GoldenCross,GOOGL,2022-09-12,2024-06-21,2,110.08,178.36,220.16,-0.62,136.56
GoldenCross,NVDA,2022-09-08,2023-03-31,491,13.44,27.75,6599.71,-1.07,7026.73
GoldenCross,META,2022-09-09,2024-10-04,13,161.98,593.08,2105.73,-2.67,5604.32
