strategy,ticker,entry_date,exit_date,shares,entry_price,exit_price,invested,return_pct,pl_dollars
DeathCross,META,2021-11-29,2023-04-27,27.0,334.27,236.7,9025.21,0.29,-2634.24
DeathCross,NVDA,2021-10-13,2021-10-29,1.0,20.87,24.95,20.87,0.19,4.07
DeathCross,NFLX,2021-08-25,2023-06-15,179.0,55.02,44.53,9847.86,0.19,-1877.53
DeathCross,QQQ,2021-10-06,2021-11-03,1.0,344.39,378.89,344.39,0.1,34.5
DeathCross,MSFT,2021-10-07,2021-10-28,1.0,284.44,312.53,284.44,0.1,28.09
DeathCross,AAPL,2021-10-04,2021-11-05,1.0,138.52,148.63,138.52,0.07,10.11
DeathCross,NFLX,2021-08-17,2021-08-25,1.0,51.55,55.02,51.55,0.07,3.47
DeathCross,SPY,2021-10-04,2021-10-29,1.0,407.04,428.54,407.04,0.05,21.5
DeathCross,GOOGL,2021-10-08,2021-11-03,1.0,138.43,144.7,138.43,0.04,6.27
DeathCross,TSLA,2021-12-22,2022-01-20,1.0,321.89,336.58,321.89,0.04,14.69
DeathCross,AMZN,2021-08-16,2021-09-23,1.0,164.15,169.0,164.15,0.03,4.85
DeathCross,META,2021-10-01,2021-11-29,1.0,338.95,334.27,338.95,-0.02,-4.68
DeathCross,TSLA,2022-01-20,2024-12-02,27.0,336.58,357.09,9087.57,-0.06,553.86
DeathCross,META,2022-04-13,2023-04-27,34.0,210.17,236.7,7145.8,-0.13,902.08
DeathCross,AMZN,2021-09-23,2024-11-06,57.0,169.0,207.09,9633.14,-0.23,2170.99
DeathCross,GOOGL,2021-11-03,2024-07-05,67.0,144.7,189.25,9695.2,-0.31,2984.85
DeathCross,GOOGL,2022-04-01,2024-07-05,4.0,138.36,189.25,553.43,-0.37,203.59
DeathCross,QQQ,2021-11-03,2025-07-24,24.0,378.89,562.92,9093.34,-0.49,4416.73
DeathCross,NVDA,2021-10-29,2023-05-25,398.0,24.95,37.95,9929.41,-0.52,5173.26
DeathCross,MSFT,2021-10-28,2025-07-09,30.0,312.53,500.6,9375.89,-0.6,5642.17
DeathCross,AMZN,2022-07-21,2024-11-06,43.0,123.2,207.09,5297.6,-0.68,3607.27
DeathCross,TSLA,2023-02-08,2024-12-02,29.0,196.1,357.09,5686.9,-0.82,4668.71
DeathCross,QQQ,2022-07-29,2025-07-24,7.0,304.21,562.92,2129.5,-0.85,1810.94
DeathCross,MSFT,2022-07-22,2025-07-09,13.0,257.18,500.6,3343.4,-0.95,3164.43
DeathCross,GOOGL,2022-12-08,2024-07-05,44.0,94.6,189.25,4162.32,-1.0,4164.88
DeathCross,META,2022-12-20,2023-04-27,88.9853,112.38,236.7,10000.0,-1.11,11063.04
DeathCross,NVDA,2022-11-11,2023-05-25,214.0,15.79,37.95,3378.27,-1.41,4742.26
GoldenCross,TSLA,2021-07-06,2021-12-22,1.0,227.24,321.89,227.24,0.41,94.65
GoldenCross,MSFT,2021-06-18,2021-10-07,1.0,249.71,284.44,249.71,0.14,34.73
GoldenCross,NVDA,2021-10-29,2022-01-06,1.0,24.95,27.59,24.95,0.1,2.64
GoldenCross,AAPL,2021-06-29,2021-10-04,1.0,131.52,138.52,131.52,0.05,7.0
GoldenCross,QQQ,2021-06-17,2021-10-06,1.0,329.92,344.39,329.92,0.04,14.47
GoldenCross,NVDA,2022-01-06,2023-03-31,360.0,27.59,27.75,9930.62,-0.01,60.25
GoldenCross,META,2021-12-15,2023-11-14,28.0,329.9,333.69,9237.23,-0.01,106.13
GoldenCross,GOOGL,2021-11-03,2021-12-22,1.0,144.7,141.89,144.7,-0.02,-2.81
GoldenCross,META,2021-11-29,2021-12-15,1.0,334.27,329.9,334.27,-0.02,-4.37
GoldenCross,SPY,2021-10-29,2022-01-26,1.0,428.54,415.75,428.54,-0.03,-12.79
GoldenCross,NFLX,2021-06-30,2021-08-17,1.0,53.41,51.55,53.41,-0.04,-1.86
GoldenCross,NFLX,2021-08-17,2024-01-24,191.0,51.55,54.49,9845.48,-0.06,561.54
GoldenCross,AMZN,2021-06-23,2021-08-16,1.0,175.25,164.15,175.25,-0.07,-11.1
GoldenCross,AMZN,2021-08-16,2024-04-05,58.0,164.15,185.07,9520.7,-0.13,1213.36
GoldenCross,TSLA,2021-12-22,2024-12-10,29.0,321.89,400.99,9334.71,-0.25,2294.0
GoldenCross,GOOGL,2021-12-22,2024-06-21,68.0,141.89,178.36,9648.84,-0.26,2479.77
GoldenCross,AMZN,2022-04-29,2024-04-05,36.0,129.85,185.07,4674.56,-0.43,1987.96
GoldenCross,GOOGL,2022-04-26,2024-06-21,24.0,121.29,178.36,2911.01,-0.47,1369.68
GoldenCross,TSLA,2022-05-10,2024-12-10,6.0,273.1,400.99,1638.62,-0.47,767.32
GoldenCross,QQQ,2021-10-06,2024-12-11,27.0,344.39,525.73,9298.53,-0.53,4896.3
GoldenCross,META,2022-05-03,2023-11-14,31.0,208.81,333.69,6473.15,-0.6,3871.28
GoldenCross,MSFT,2021-10-07,2024-07-05,33.0,284.44,461.32,9386.53,-0.62,5837.12
GoldenCross,GOOGL,2022-09-12,2024-06-21,4.0,110.08,178.36,440.32,-0.62,273.13
GoldenCross,MSFT,2022-07-27,2024-07-05,4.0,253.23,461.32,1012.91,-0.82,832.38
GoldenCross,QQQ,2022-09-15,2024-12-11,6.0,287.29,525.73,1723.76,-0.83,1430.65
GoldenCross,AAPL,2021-10-04,2025-10-20,70.0,138.52,261.74,9696.08,-0.89,8625.8
GoldenCross,TSLA,2023-04-03,2024-12-10,32.0,199.91,400.99,6397.12,-1.01,6434.56
GoldenCross,MSFT,2023-01-11,2024-07-05,4.0,225.37,461.32,901.5,-1.05,943.79
GoldenCross,AMZN,2023-03-13,2024-04-05,66.0,89.97,185.07,5938.02,-1.06,6276.6
GoldenCross,NVDA,2022-09-08,2023-03-31,542.0,13.44,27.75,7285.22,-1.07,7756.59
