strategy,ticker,entry_date,exit_date,action,entry_price,exit_price,shares,investment,return_pct
GoldenCross,SPY,2021-10-04,2021-10-29,SELL,407.04,428.54,2,814.08,-0.05
GoldenCross,SPY,2022-01-26,2022-04-04,SELL,415.75,428.79,2,831.5,-0.03
GoldenCross,SPY,2022-05-03,2022-08-02,SELL,392.71,388.81,2,785.43,0.01
GoldenCross,SPY,2022-09-19,2022-11-14,SELL,364.78,378.52,2,729.55,-0.04
GoldenCross,SPY,2023-01-04,2023-01-30,SELL,367.33,386.14,2,734.67,-0.05
GoldenCross,SPY,2023-03-15,2023-04-14,SELL,369.93,397.25,2,739.86,-0.08
GoldenCross,SPY,2023-08-29,2023-11-21,SELL,427.55,439.26,2,855.09,-0.03
GoldenCross,SPY,2024-04-29,2024-05-21,SELL,497.97,516.7,1,497.97,-0.04
GoldenCross,SPY,2024-08-12,2024-09-04,SELL,523.2,538.86,1,523.2,-0.03
GoldenCross,SPY,2025-01-15,2025-02-05,SELL,581.89,592.05,1,581.89,-0.02
GoldenCross,SPY,2025-03-10,2025-05-15,SELL,559.47,578.92,1,559.47,-0.04
DeathCross,SPY,2021-10-04,2021-10-29,BUY,407.04,428.54,2,814.08,0.05
DeathCross,SPY,2022-01-26,2022-04-04,BUY,415.75,428.79,2,831.5,0.03
DeathCross,SPY,2022-05-03,2022-08-02,BUY,392.71,388.81,2,785.43,-0.01
DeathCross,SPY,2022-09-19,2022-11-14,BUY,364.78,378.52,2,729.55,0.04
DeathCross,SPY,2023-01-04,2023-01-30,BUY,367.33,386.14,2,734.67,0.05
DeathCross,SPY,2023-03-15,2023-04-14,BUY,369.93,397.25,2,739.86,0.07
DeathCross,SPY,2023-08-29,2023-11-21,BUY,427.55,439.26,2,855.09,0.03
DeathCross,SPY,2024-04-29,2024-05-21,BUY,497.97,516.7,1,497.97,0.04
DeathCross,SPY,2024-04-29,2024-09-04,BUY,497.97,538.86,1,497.97,0.08
DeathCross,SPY,2024-08-12,2025-02-05,BUY,523.2,592.05,1,523.2,0.13
DeathCross,SPY,2025-01-15,2025-05-15,BUY,581.89,578.92,1,581.89,-0.01
GoldenCross,QQQ,2021-06-17,2021-10-06,BUY,329.92,344.39,2,659.83,0.04
GoldenCross,QQQ,2021-06-17,2022-01-10,BUY,329.92,365.03,1,329.92,0.1
GoldenCross,QQQ,2021-11-03,2022-01-10,BUY,378.89,365.03,1,378.89,-0.04
GoldenCross,QQQ,2021-11-03,2022-04-29,BUY,378.89,315.63,1,378.89,-0.17
GoldenCross,QQQ,2022-04-06,2022-04-29,BUY,346.79,315.63,1,346.79,-0.09
GoldenCross,QQQ,2022-04-06,2022-09-15,BUY,346.79,287.29,1,346.79,-0.17
GoldenCross,QQQ,2022-07-29,2022-09-15,BUY,304.21,287.29,2,608.43,-0.06
GoldenCross,QQQ,2022-07-29,2022-12-30,BUY,304.21,258.62,1,304.21,-0.15
GoldenCross,QQQ,2022-11-22,2022-12-30,BUY,276.62,258.62,2,553.24,-0.07
GoldenCross,QQQ,2022-11-22,2023-08-24,BUY,276.62,366.65,1,276.62,0.32
GoldenCross,QQQ,2023-02-01,2023-08-24,BUY,288.83,366.65,1,288.83,0.27
GoldenCross,QQQ,2023-02-01,2024-04-23,BUY,288.83,416.2,2,577.66,0.44
GoldenCross,QQQ,2023-11-20,2024-08-07,BUY,380.39,442.34,1,380.39,0.16
GoldenCross,QQQ,2023-11-20,2025-03-07,BUY,380.39,484.09,1,380.39,0.27
GoldenCross,QQQ,2024-05-22,2025-12-10,BUY,451.11,622.26,1,451.11,0.38
GoldenCross,QQQ,2024-05-22,2026-02-11,BUY,451.11,615.6,1,451.11,0.36
DeathCross,QQQ,2021-06-17,2021-10-06,SELL,329.92,344.39,2,659.83,-0.05
DeathCross,QQQ,2021-06-17,2022-01-10,SELL,329.92,365.03,1,329.92,-0.11
DeathCross,QQQ,2021-11-03,2022-01-10,SELL,378.89,365.03,1,378.89,0.03
DeathCross,QQQ,2021-11-03,2022-04-29,SELL,378.89,315.63,1,378.89,0.17
DeathCross,QQQ,2022-04-06,2022-04-29,SELL,346.79,315.63,1,346.79,0.09
DeathCross,QQQ,2022-04-06,2022-09-15,SELL,346.79,287.29,1,346.79,0.17
DeathCross,QQQ,2022-07-29,2022-09-15,SELL,304.21,287.29,2,608.43,0.05
DeathCross,QQQ,2022-07-29,2022-12-30,SELL,304.21,258.62,1,304.21,0.15
DeathCross,QQQ,2022-11-22,2022-12-30,SELL,276.62,258.62,2,553.24,0.06
DeathCross,QQQ,2022-11-22,2023-08-24,SELL,276.62,366.65,1,276.62,-0.33
DeathCross,QQQ,2023-02-01,2023-08-24,SELL,288.83,366.65,1,288.83,-0.27
DeathCross,QQQ,2023-02-01,2024-04-23,SELL,288.83,416.2,1,288.83,-0.44
DeathCross,QQQ,2023-02-01,2024-08-07,SELL,288.83,442.34,1,288.83,-0.53
DeathCross,QQQ,2023-11-20,2025-03-07,SELL,380.39,484.09,1,380.39,-0.27
DeathCross,QQQ,2023-11-20,2025-12-10,SELL,380.39,622.26,1,380.39,-0.64
DeathCross,QQQ,2024-05-22,2026-02-11,SELL,451.11,615.6,1,451.11,-0.37
GoldenCross,AAPL,2021-06-29,2021-10-04,BUY,131.52,138.52,6,789.11,0.05
GoldenCross,AAPL,2021-06-29,2022-02-01,BUY,131.52,170.28,1,131.52,0.29
GoldenCross,AAPL,2021-11-05,2022-02-01,BUY,148.63,170.28,4,594.52,0.14
GoldenCross,AAPL,2021-11-05,2022-05-04,BUY,148.63,156.44,2,297.26,0.05
GoldenCross,AAPL,2022-04-06,2022-05-04,BUY,168.88,156.44,3,506.63,-0.08
GoldenCross,AAPL,2022-04-06,2022-09-20,BUY,168.88,150.73,2,337.75,-0.11
GoldenCross,AAPL,2022-07-21,2022-09-20,BUY,151.6,150.73,3,454.8,-0.01
GoldenCross,AAPL,2022-07-21,2022-11-30,BUY,151.6,139.17,3,454.8,-0.08
GoldenCross,AAPL,2022-11-22,2022-11-30,BUY,145.79,139.17,3,437.38,-0.05
GoldenCross,AAPL,2022-11-22,2022-12-20,BUY,145.79,129.32,3,437.38,-0.11
